Date time,Location,Minimum Temperature,Maximum Temperature,Relative Humidity
2023-05-17,Adilabad,27.291954777689906,29.79143325649609,81.51584763743291
2023-05-18,Adilabad,28.28534049964003,29.49081055356652,82.79804476063703
2023-05-19,Adilabad,27.08820627859412,30.464208722166468,80.46486325103582
2023-05-20,Adilabad,26.223039369383557,29.986978255952845,89.09060823115587
2023-05-21,Adilabad,26.481084942653396,29.02509368454975,85.50297933660808
2023-05-22,Adilabad,26.342922598299033,30.616738735656327,84.3974442807596
2023-05-23,Adilabad,25.912976867941392,28.79114083685455,88.15359002089478
2023-05-24,Adilabad,27.799486920902346,28.47073136481615,86.97352703656632
2023-05-25,Adilabad,25.017294376569094,26.106986828138755,95.63354832910024
2023-05-26,Adilabad,27.937765932736383,30.254374041080816,77.84042212443765
2023-05-27,Adilabad,27.936455071779793,31.51567085370549,76.78264846011241
