,Date,Location,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
30,2019-01-30,Adilabad,13.055555555555555,24.166666666666668,18.61111111111111,37.8,40.81,82.0,2.2,,95.0,,0.0,0.0,,4.3,0.0,1018.1,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
31,2019-01-31,Adilabad,15.66666666666667,28.05555555555556,21.83333333333333,48.5,45.6,81.4,2.2,,50.0,,0.0,0.0,,4.3,20.0,1016.0,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
32,2019-02-01,Adilabad,18.166666666666668,28.333333333333336,23.22222222222222,58.6,60.84,83.4,0.0,,50.0,,0.0,0.0,,4.3,20.0,1015.4,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
33,2019-02-02,Adilabad,19.33333333333333,29.05555555555556,24.22222222222222,57.6,59.48,82.8,0.0,,50.0,,0.0,0.0,,4.3,0.0,1013.7,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
34,2019-02-03,Adilabad,16.333333333333332,29.05555555555556,22.722222222222225,50.0,46.45,82.8,3.4,,50.0,,0.0,0.0,,4.3,0.0,1015.1,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
35,2019-02-04,Adilabad,20.05555555555556,29.33333333333333,24.722222222222225,54.0,47.17,83.5,2.2,,95.0,,0.0,0.0,,4.3,0.0,1017.4,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
36,2019-02-05,Adilabad,21.05555555555556,30.05555555555556,25.55555555555556,54.5,45.48,84.8,1.1,,20.0,,0.0,0.0,,4.3,0.0,1016.5,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
37,2019-02-06,Adilabad,23.166666666666668,30.05555555555556,26.611111111111114,63.4,57.73,88.4,2.2,,95.0,,0.0,0.0,,4.3,15.0,1012.1,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
38,2019-02-07,Adilabad,24.05555555555556,31.33333333333334,27.722222222222225,65.0,58.25,90.3,2.2,,205.0,,0.0,0.0,,4.3,70.0,1011.6,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
39,2019-02-08,Adilabad,20.166666666666664,28.05555555555556,24.111111111111114,56.5,52.69,82.5,1.1,,230.0,,0.0,0.0,,4.3,45.0,1013.4,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
40,2019-02-09,Adilabad,16.833333333333332,25.05555555555556,20.944444444444446,43.0,39.42,81.25,2.2,,50.0,,0.0,0.0,,4.3,0.0,1017.3,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
41,2019-02-10,Adilabad,16.166666666666668,27.05555555555556,21.611111111111114,46.6,42.81,80.0,2.2,,95.0,,0.0,0.0,,4.3,0.0,1018.4,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
42,2019-02-11,Adilabad,27.05555555555556,29.166666666666668,28.11111111111111,53.4,36.98,84.2,1.1,,50.0,,0.0,0.0,,4.3,40.0,1016.8,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
43,2019-02-12,Adilabad,21.83333333333333,31.33333333333334,26.611111111111114,61.2,54.65,89.0,1.1,,50.0,,0.0,0.0,,4.3,35.0,1016.8,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
44,2019-02-13,Adilabad,22.16666666666667,33.16666666666667,27.666666666666668,58.7,51.7,89.4,3.4,,140.0,,0.0,0.0,,4.3,0.0,1016.6,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
45,2019-02-14,Adilabad,25.666666666666668,33.16666666666667,29.388888888888893,58.0,43.0,89.4,3.4,,50.0,,0.0,0.0,,4.3,0.0,1016.9,Smoke Or Haze,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
46,2019-02-15,Adilabad,25.05555555555556,27.05555555555556,26.05555555555556,67.3,67.84,83.0,2.2,,185.0,,0.0,0.0,,4.3,55.0,1015.5,Sky Coverage Increasing,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
47,2019-02-16,Adilabad,20.833333333333336,32.05555555555556,26.444444444444443,62.3,59.06,90.3,0.0,,140.0,,0.0,0.0,,6.2,0.0,1012.8,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
48,2019-02-17,Adilabad,18.333333333333336,29.833333333333336,24.111111111111114,56.1,52.56,85.6,2.2,,95.0,,0.0,0.0,,6.2,0.0,1013.3,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
49,2019-02-18,Adilabad,21.666666666666668,31.33333333333334,26.500000000000004,55.6,43.65,89.0,2.2,,140.0,,0.0,0.0,,6.2,0.0,1011.1,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
50,2019-02-19,Adilabad,25.33333333333333,34.833333333333336,30.111111111111114,60.1,43.46,94.5,2.2,,95.0,,0.0,0.0,,6.2,0.0,1005.2,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
51,2019-02-20,Adilabad,27.16666666666667,27.16666666666667,27.16666666666667,70.8,71.49,84.6,2.2,,140.0,,0.0,0.0,,6.2,0.0,1014.8,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
52,2019-02-20,Adilabad,27.16666666666667,33.05555555555556,30.111111111111114,67.0,55.37,92.7,3.4,,185.0,,0.0,0.0,,6.2,0.0,1013.5,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
53,2019-02-21,Adilabad,27.05555555555556,34.833333333333336,30.944444444444446,63.6,49.24,93.6,2.2,,185.0,,0.0,0.0,,6.2,20.0,1015.1,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
54,2019-02-22,Adilabad,28.05555555555556,35.833333333333336,31.944444444444446,63.5,46.17,95.6,2.2,,230.0,,0.0,0.0,,6.2,85.0,1012.7,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Overcast
55,2019-02-23,Adilabad,26.166666666666664,36.05555555555556,31.111111111111114,60.1,42.78,95.6,2.2,,185.0,,0.0,0.0,,6.2,0.0,1010.9,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
56,2019-02-24,Adilabad,25.05555555555556,36.05555555555556,30.55555555555556,56.9,40.3,94.5,2.2,,320.0,,0.0,0.0,,6.2,15.0,1008.2,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
57,2019-02-25,Adilabad,26.83333333333333,33.05555555555556,29.94444444444445,52.9,36.33,87.7,2.2,,275.0,,0.0,0.0,,6.2,0.0,1008.5,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
58,2019-02-26,Adilabad,25.166666666666668,32.83333333333333,29.000000000000004,52.4,33.55,90.2,2.2,,230.0,,0.0,0.0,,6.2,20.0,1007.9,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
59,2019-02-27,Adilabad,23.83333333333334,33.833333333333336,28.83333333333334,46.6,30.2,88.9,2.2,,140.0,,0.0,0.0,,6.2,50.0,1007.7,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Partially cloudy
60,2019-02-28,Adilabad,22.83333333333333,31.33333333333334,27.11111111111111,50.2,34.96,86.2,2.2,,50.0,,0.0,0.0,,6.2,0.0,1010.5,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
61,2019-03-01,Adilabad,21.83333333333333,31.83333333333333,26.83333333333333,51.1,37.92,86.6,3.4,,230.0,,0.0,0.0,,6.2,0.0,1011.2,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
62,2019-03-02,Adilabad,24.166666666666668,32.83333333333333,28.5,53.2,38.13,88.1,3.4,,185.0,,0.0,0.0,,6.2,25.0,1009.7,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
63,2019-03-03,Adilabad,27.05555555555556,35.833333333333336,31.444444444444443,55.7,33.3,95.9,3.4,,275.0,,0.0,0.0,,6.2,0.0,1007.9,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
64,2019-03-04,Adilabad,26.83333333333333,35.05555555555556,30.944444444444446,53.8,32.89,92.5,4.7,,320.0,,0.0,0.0,,6.2,0.0,1006.0,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
65,2019-03-05,Adilabad,25.666666666666668,32.333333333333336,29.000000000000004,55.4,38.35,88.2,3.4,,275.0,,0.0,0.0,,6.2,0.0,1008.6,,19.6772,78.5331,"Adilabad, TS, India","Adilabad, TS, India",,Clear
