Location_ID,Date,AQI,NO2,SO2,PM2.5,PM10
4,2021-11-09,22,6.00666666666667,0.9525,5.24958333333333,7.86166666666667
0,2021-11-10,155,12.6191666666667,4.43708333333333,65.2445833333333,84.6258333333333
1,2021-11-10,166,16.5779166666667,17.1275,86.46375,107.965
2,2021-11-10,152,3.40041666666667,1.01291666666667,58.7075,69.0779166666667
3,2021-11-10,156,6.80666666666667,3.07,67.3195833333333,83.2583333333333
4,2021-11-10,165,6.83833333333333,5.74,84.8320833333333,103.255833333333
0,2021-11-11,213,6.48666666666667,8.36416666666667,117.329583333333,126.159166666667
1,2021-11-11,235,11.1304166666667,21.4425,185.058333333333,197.12
2,2021-11-11,172,2.55333333333333,0.9125,97.5370833333333,102.921666666667
3,2021-11-11,237,4.38583333333333,13.3216666666667,130.865833333333,140.265416666667
4,2021-11-11,214,6.3325,9.50791666666667,164.71375,173.98125
0,2021-11-12,187,8.64708333333333,14.3675,126.448333333333,133.2975
1,2021-11-12,161,13.27375,8.13916666666667,76.4754166666667,84.1616666666667
2,2021-11-12,129,5.13125,2.27458333333333,47.0391666666667,50.4708333333333
3,2021-11-12,169,5.59958333333333,4.72125,90.90625,98.2404166666667
4,2021-11-12,128,8.715,2.45875,46.4608333333333,52.32125
0,2021-11-13,116,11.1925,10.28375,41.7129166666667,43.22875
1,2021-11-13,56,5.95791666666667,3.04875,14.79,17.0304166666667
2,2021-11-13,36,3.32083333333333,1.42208333333333,8.5275,9.07125
3,2021-11-13,94,3.41375,2.48791666666667,32.4658333333333,34.2645833333333
4,2021-11-13,44,4.6125,0.7925,10.655,12.3195833333333
0,2021-11-14,84,9.94625,3.88166666666667,27.7525,30.2554166666667
1,2021-11-14,42,6.39125,2.08166666666667,10.1129166666667,12.2975
2,2021-11-14,56,5.51166666666667,1.70541666666667,14.615,15.61375
3,2021-11-14,65,5.43583333333333,2.62875,18.99625,21.5208333333333
4,2021-11-14,45,6.16708333333333,1.24791666666667,10.7125,12.3975
0,2021-11-15,141,11.5791666666667,12.06375,51.615,54.8941666666667
1,2021-11-15,56,6.96833333333333,2.67666666666667,14.57625,18.1904166666667
2,2021-11-15,52,5.16583333333333,1.20333333333333,12.8754166666667,14.5175
3,2021-11-15,79,5.63416666666667,3.10208333333333,25.7995833333333,30.1683333333333
4,2021-11-15,54,5.88583333333333,1.20541666666667,13.6795833333333,16.3254166666667
0,2021-11-16,68,7.50916666666667,5.72,20.6320833333333,23.6204166666667
1,2021-11-16,58,7.48791666666667,2.06583333333333,15.7483333333333,19.1020833333333
2,2021-11-16,66,6.69041666666667,2.50708333333333,19.52,21.48
3,2021-11-16,58,4.50291666666667,2.97666666666667,15.75875,18.3195833333333
4,2021-11-16,67,9.63458333333333,2.17416666666667,19.75375,23.0908333333333
0,2021-11-17,57,8.20875,6.30208333333333,15.1441666666667,16.57875
1,2021-11-17,62,8.26958333333333,2.52916666666667,17.84875,21.93375
2,2021-11-17,70,5.82791666666667,1.57291666666667,21.265,23.4225
3,2021-11-17,74,5.64583333333333,4.76416666666667,23.1158333333333,26.4641666666667
4,2021-11-17,78,9.66041666666667,2.34083333333333,25.2229166666667,31.4120833333333
0,2021-11-18,122,11.1629166666667,7.96958333333333,44.2254166666667,47.6754166666667
